ref,qty,value,package,notes
D1;D2,2,BPW34,DIP-2 / 5.4mm leaded,"PIN photodiode; D2 spare / pick-off"
U1,1,OPA2340,SOIC-8,"Phase 0 TIA + 2nd stage (dual)"
U1b,1,OPA657,SOIC-8,"Phase 1/2 TIA (single, low input C) - alt footprint"
U3,1,OPA2340,SOIC-8,"Sallen-Key anti-alias (Phase 1+)"
Rf1,1,100k,0805,"TIA feedback, gain range 1"
Rf2,1,1M,0805,"TIA feedback, gain range 2"
Rf3,1,10M,0805,"TIA feedback, gain range 3"
Cf1,1,4.7pF,0805 NP0,"feedback cap, 100k range"
Cf2,1,0.5pF,0805 NP0,"feedback cap, 1M range (or PCB stray + trimmer)"
Cf3,1,1pF,0805 NP0,"feedback cap, 10M range"
SW1,1,SP3T,through-hole,"Rf range select"
SW2,1,SP3T,through-hole,"anti-alias corner select"
SW3,1,SP2T,through-hole,"2nd-stage gain x10/x100"
Rg,2,1k;21k,0805,"2nd stage non-inverting gain set"
U2,1,TLV1117-5 / MCP1700,SOT-223,"+5VA LDO"
U4,1,LM7660 / ICL7660,SOIC-8,"-5VA charge pump (or dual bench supply)"
Rbias,1,100k,0805,"VR bias decoupling series"
Cbias,2,10uF;100nF,0805,"VR bias decoupling"
Cdec,8,100nF,0805,"per-rail decoupling"
Crail,3,10uF,0805,"bulk per rail"
FB1,2,ferrite bead,0805,"+5VT / VR isolation"
J1,1,coax / 2-pin,,"BPW34 remote mount"
J2,1,3-pin,,"OUT_DC / OUT_AC / GND"
J3,1,2-pin,,"VR bias in (9V battery)"
BT1,1,9V battery + clip,,"quiet photodiode bias (Phase 0)"
