ref,qty,value,package,notes
LD1,1,650nm module 1-5mW,,"Phase 0 disposable, with integral driver"
LD2,1,650nm single-mode diode (HL6501MG-class),TO-18 / 9mm can,"Phase 1 SMI source"
U1,1,LM317,TO-220 / SOT-223,"Phase 0 constant-current"
Rset,1,33R 1%,0805,"LM317 Iset ~ 1.25/Rset ~ 38 mA"
Css,1,10uF,0805,"soft-start ADJ->OUT"
D1,1,BAT54 Schottky,SOD-123,"reverse protection, series"
D2,1,SMBJ12A / 12V zener,SMB,"diode overvoltage clamp"
U2,1,iC-Haus iC-WKN,QFN / SOIC,"Phase 1 low-noise constant-current driver"
Rsense,1,per Iset,0805 0.1%,"driver current sense"
Rlim,1,per Imax,0805,"hard current limit set"
L1;C_bt,1,bias-T (100uH + 100nF),,"optional junction-voltage SMI pickoff"
J_ilk,1,2-pin,,"interlock (short = enable)"
J_pd,1,2-pin,,"monitor photodiode LD_MPD"
J_out,1,2-pin,,"LD_A / LD_K to the printed head"
TEC1,1,Peltier 15x15,,"Phase 2 only: diode temp control"
NTC1,1,10k NTC,0603,"Phase 2 only: temp sense"
U3,1,LTC1923 / DRV595,,"Phase 2 only: TEC controller"
